time,valence,comfort,saccade,frown,mouth_open,jaw,happy,surprise,neutral,sad,angry,fear,disgust
14.4,-0.36000000000000004,0.07835489282937513,0.22142868341263544,1.0,0.11398291705288892,0.913557188375312,0.05,0.0,0.54,0.17,0.15,0.08,0.01
14.6,0.8899999999999999,0.10110246524170444,0.2860953746527749,1.0,0.5789077662574089,0.9569873578750832,0.85,0.08,0.02,0.01,0.01,0.02,0.0
14.8,0.98,0.12929552164884411,0.11480940757601928,0.9905100245817714,0.6026417526066493,0.9594383537064118,0.96,0.02,0.01,0.0,0.0,0.0,0.0
15.0,-0.6900000000000001,0.026807434265140352,0.5195963764289258,0.9692344904604596,0.2942971822226039,0.9445497706601215,0.09,0.01,0.11,0.54,0.11,0.05,0.09
15.2,-0.31000000000000005,0.12403577936519275,0.22220269049837987,0.9149054208814636,0.38105171511508373,0.9445051230277638,0.12,0.02,0.4,0.14,0.2,0.06,0.05
15.4,-0.17000000000000004,0.06709409490447932,0.03792232319792662,0.8966758149106313,0.32846429030419166,0.9486454518552262,0.18,0.06,0.35,0.21,0.11,0.06,0.03
15.6,0.5000000000000001,0.0,0.05364496376688744,0.8839635285902031,0.24581867155528317,0.9643475466000945,0.54,0.05,0.33,0.03,0.02,0.03,0.01
15.8,1.0,0.09970967798918563,0.08327425231289377,0.8611234869743037,0.5389186849229101,0.9682364387611218,0.99,0.01,0.01,0.0,0.0,0.0,0.0
16.0,0.99,0.24433137103921312,0.04277154753040727,0.873964823065472,0.48735241935080065,0.9420927864366769,0.99,0.0,0.01,0.0,0.0,0.0,0.0
16.2,0.71,0.040100918928179956,0.07131428943475666,0.9286006068256102,0.04397660953586719,0.9211951930130412,0.73,0.0,0.24,0.01,0.01,0.0,0.0
16.4,0.6699999999999999,0.029761113286212088,0.04735377432339158,0.945728870232456,0.049049024595674805,0.9216551621694865,0.69,0.0,0.28,0.01,0.01,0.0,0.0
16.6,0.48,0.0026577048403821453,0.08041548731570458,0.9568501319821172,0.0703219109667495,0.9265545007470292,0.48,0.0,0.51,0.0,0.0,0.0,0.0
16.8,0.5399999999999999,0.0,0.12405369415241474,0.9768059996122318,0.07489057436641469,0.9262325678189766,0.57,0.0,0.41,0.01,0.01,0.01,0.0
17.0,0.71,0.016866119000525513,0.06293686467604737,1.0,0.0567479279798997,0.9185967614517708,0.72,0.0,0.26,0.01,0.0,0.0,0.0
17.2,0.88,0.10753508100116109,0.4147839026187496,1.0,0.0877999693197031,0.9086805905273233,0.89,0.0,0.09,0.01,0.0,0.0,0.0
17.4,0.52,0.023708248384288255,0.3736513347390966,0.9380300791150225,0.05897687734360218,0.924139814280555,0.55,0.0,0.41,0.01,0.01,0.01,0.0
17.6,0.5499999999999999,0.04038366521252588,0.03278817459647499,0.9804079024599404,0.1046695806373642,0.9227775687778395,0.58,0.0,0.39,0.01,0.01,0.01,0.0
17.8,0.48000000000000004,0.006960629288508111,0.012831442263426968,0.9994188782755272,0.09975041532958787,0.9252524423751998,0.52,0.0,0.44,0.02,0.01,0.01,0.0
18.0,0.59,0.03931385909573165,0.015288445159669083,1.0,0.09207427180952603,0.9186494441419043,0.61,0.0,0.37,0.01,0.01,0.0,0.0
18.2,0.77,0.13786830080423687,0.2772667374566677,1.0,0.10581971243973756,0.9061777458326116,0.79,0.0,0.18,0.01,0.01,0.0,0.0
18.4,0.6,0.07205400487100751,0.4105889519023979,0.9879749920990161,0.09700557571152266,0.9170071844559472,0.62,0.0,0.35,0.01,0.01,0.0,0.0
18.6,0.59,0.22751485664997637,0.9108908325898387,0.9236092091860985,0.12896194232073838,0.9043392336506036,0.61,0.0,0.37,0.01,0.01,0.0,0.0
18.8,0.62,0.2746915977973239,0.2843358198575697,0.8572802787333622,0.27220342341738146,0.9178513203369912,0.62,0.0,0.37,0.0,0.0,0.0,0.0
